session_id,user,sensor,elapsed_sec,sample_count,delta,theta,alpha,beta,gamma_1,gamma_2,ppg_ir,ppg_red,ppg_ambient,acc_x,acc_y,acc_z,drl,ref
0,A9,acc,0,24,,,,,,,,,,-0.288284,0.195140,0.948771,,
0,A9,acc,1,51,,,,,,,,,,-0.288148,0.146594,0.944302,,
0,A9,acc,2,54,,,,,,,,,,-0.316578,0.124880,0.936890,,
0,A9,acc,3,51,,,,,,,,,,-0.267879,0.159326,0.949082,,
0,A9,acc,4,51,,,,,,,,,,-0.282507,0.152468,0.944721,,
0,A9,acc,5,51,,,,,,,,,,-0.330386,0.142175,0.930491,,
0,A9,acc,6,54,,,,,,,,,,-0.360131,0.135480,0.920522,,
0,A9,acc,7,51,,,,,,,,,,-0.339750,0.135298,0.928602,,
0,A9,acc,8,51,,,,,,,,,,-0.292658,0.130989,0.944474,,
0,A9,acc,9,54,,,,,,,,,,-0.296987,0.127613,0.944463,,
0,A9,acc,10,51,,,,,,,,,,-0.285130,0.131026,0.947920,,
0,A9,acc,11,51,,,,,,,,,,-0.253844,0.141931,0.953083,,
0,A9,acc,12,54,,,,,,,,,,-0.234559,0.163590,0.956271,,
0,A9,acc,13,51,,,,,,,,,,-0.288392,0.158908,0.941936,,
0,A9,acc,14,51,,,,,,,,,,-0.329584,0.153056,0.929410,,
0,A9,acc,15,51,,,,,,,,,,-0.257511,0.164271,0.947865,,
0,A9,acc,16,54,,,,,,,,,,-0.083822,0.199869,0.975453,,
0,A9,acc,17,51,,,,,,,,,,-0.139021,0.176978,0.972891,,
0,A9,acc,18,51,,,,,,,,,,-0.197224,0.175639,0.962186,,
0,A9,acc,19,54,,,,,,,,,,-0.252608,0.151584,0.955395,,
0,A9,acc,20,54,,,,,,,,,,-0.300119,0.167015,0.937516,,
0,A9,acc,21,51,,,,,,,,,,-0.324610,0.130749,0.931868,,
0,A9,acc,22,51,,,,,,,,,,-0.335918,0.117989,0.932007,,
0,A9,acc,23,51,,,,,,,,,,-0.230505,0.097592,0.961849,,
0,A9,acc,24,54,,,,,,,,,,-0.175746,0.142520,0.972049,,
0,A9,acc,25,51,,,,,,,,,,-0.166157,0.153956,0.972789,,
0,A9,acc,26,51,,,,,,,,,,-0.163742,0.142537,0.973764,,
0,A9,acc,27,54,,,,,,,,,,-0.243421,0.150447,0.955067,,
0,A9,acc,28,51,,,,,,,,,,-0.248371,0.138105,0.956660,,
0,A9,acc,29,51,,,,,,,,,,-0.261374,0.085747,0.957284,,
